month/day	retweet_count	favorite_count	vader compound	vader sentiment
2018-11-29	283100	1181966	4.8833	positive
2018-11-30	154450	727915	4.4563	positive
2018-12-01	91582	497616	1.9628	positive
2018-12-02	49222	216577	1.2450999999999999	positive
2018-12-03	241518	1085314	3.1047	positive
2018-12-04	198304	861884	4.7987	positive
2018-12-05	155516	787591	2.6763	positive
2018-12-06	187450	762751	0.33549999999999985	positive
2018-12-07	308735	1298252	5.4876000000000005	positive
2018-12-08	264401	1161177	2.2729999999999997	positive
2018-12-09	118773	482669	0.4314999999999998	positive
2018-12-10	96202	394180	-1.9260000000000002	negative
2018-12-11	218879	977056	5.352	positive
2018-12-12	111102	434574	-0.40299999999999997	negative
2018-12-13	229696	972930	0.8172	positive
2018-12-14	175866	808964	5.3511	positive
2018-12-15	120903	496914	-0.16460000000000008	negative
2018-12-16	237873	922105	-2.087	negative
2018-12-17	118113	499601	4.2051	positive
2018-12-18	259909	1076395	4.1224	positive
2018-12-19	158749	664071	0.4652000000000001	positive
2018-12-20	373412	1583338	7.1122	positive
2018-12-21	416606	1870141	4.640700000000002	positive
2018-12-22	245572	1131222	-0.08629999999999982	negative
2018-12-23	281511	1268151	2.8941	positive
2018-12-24	340243	1495240	3.9407	positive
2018-12-25	135850	758169	1.4846	positive
2018-12-26	50441	222873	0.8271	positive
2018-12-27	307917	1311070	-0.5117000000000003	negative
2018-12-28	146280	646679	0.9111	positive
2018-12-29	285322	1153641	-0.27289999999999986	negative
2018-12-30	119520	487624	2.637	positive
2018-12-31	355385	1422060	0.056999999999999884	positive
2019-01-01	464937	1955132	5.5424999999999995	positive
2019-01-02	141332	679200	3.3182	positive
2019-01-03	222421	901245	2.4408	positive
2019-01-04	172025	824967	4.2625	positive
2019-01-05	414264	1786349	1.2406	positive
2019-01-06	249276	726849	0.15479999999999977	positive
2019-01-07	210759	932184	-0.8734000000000001	negative
2019-01-08	159466	861624	3.735	positive
2019-01-09	355726	936324	-1.7163000000000002	negative
2019-01-10	374443	1495560	5.8777	positive
2019-01-11	251963	947207	1.6475999999999997	positive
2019-01-12	361305	1536639	-3.0652999999999997	negative
2019-01-13	352501	1563913	-0.26749999999999996	negative
2019-01-14	345321	1047898	3.8528	positive
2019-01-15	419026	1101738	1.7028	positive
2019-01-16	90356	367017	0.3945	positive
2019-01-17	243898	668848	-0.14610000000000012	negative
2019-01-18	657993	1673581	-1.646	negative
2019-01-19	192402	889097	1.5179	positive
2019-01-20	687952	1976969	13.5358	positive
2019-01-21	365948	1217872	2.9105000000000003	positive
2019-01-22	342704	1477255	0.3065	positive
2019-01-23	293888	1094245	0.6555	positive
2019-01-24	252457	1192905	0.15870000000000006	positive
2019-01-25	110970	456725	0.5277	positive
2019-01-26	361590	1553349	-1.7654000000000005	negative
2019-01-27	330255	1011485	-1.1916	negative
2019-01-28	225060	995273	3.0187999999999997	positive
2019-01-29	44187	223859	0.019600000000000006	positive
2019-01-30	248573	1051564	-0.3086	negative
2019-01-31	458776	1977504	1.1538	positive
2019-02-01	180201	743289	2.3586	positive
2019-02-02	96720	481525	2.1474	positive
2019-02-03	60453	300993	2.3371	positive
2019-02-04	20332	114463	0.7579	positive
2019-02-05	146122	608614	2.0639000000000003	positive
2019-02-06	71374	188458	0.0	neutral
2019-02-07	232527	1120346	1.3891	positive
2019-02-08	220701	996288	3.8447	positive
